ContigID	GOSlim_bin
gi|379100309|gb|JR997978.1|	cell organization and biogenesis
gi|379094351|gb|JR992020.1|	other biological processes
gi|379076949|gb|JR974618.1|	transport
gi|379096329|gb|JR993998.1|	RNA metabolism
gi|379121475|gb|JT019145.1|	stress response
gi|379083793|gb|JR981462.1|	protein metabolism
gi|379103041|gb|JT000711.1|	RNA metabolism
gi|379124103|gb|JT021773.1|	other metabolic processes
gi|379118273|gb|JT015943.1|	RNA metabolism
gi|379078176|gb|JR975845.1|	other metabolic processes
gi|379124102|gb|JT021772.1|	signal transduction
gi|379121064|gb|JT018734.1|	cell organization and biogenesis
gi|379110786|gb|JT008456.1|	other biological processes
gi|379075595|gb|JR973264.1|	transport
gi|379124220|gb|JT021890.1|	other metabolic processes
gi|379115972|gb|JT013642.1|	developmental processes
gi|379108602|gb|JT006272.1|	cell organization and biogenesis
gi|379114292|gb|JT011962.1|	signal transduction
gi|379108359|gb|JT006029.1|	developmental processes
gi|379101592|gb|JR999261.1|	signal transduction
gi|379124779|gb|JT022449.1|	cell organization and biogenesis
gi|379079248|gb|JR976917.1|	other biological processes
gi|379121731|gb|JT019401.1|	RNA metabolism
gi|379101676|gb|JR999345.1|	transport
